Date,Close
3/2/2015,99
3/3/2015,98.4
3/4/2015,97.36
3/5/2015,97.23
3/6/2015,96.17
3/9/2015,96.04
3/10/2015,94.43
3/11/2015,93.63
3/12/2015,95.71
3/13/2015,94.32
3/16/2015,95.45
3/17/2015,94.13
3/18/2015,94.64
3/19/2015,94.1
3/20/2015,95.34
3/23/2015,95.85
3/24/2015,95.86
3/25/2015,95.26
3/26/2015,95.63
3/27/2015,95.95
3/30/2015,96.52
3/31/2015,95.62
4/1/2015,95.09
4/2/2015,95.69
4/6/2015,96.48
4/7/2015,96.21
4/8/2015,96.03
4/9/2015,96.35
4/10/2015,96.2
4/13/2015,95.53
4/14/2015,96.49
4/15/2015,96.63
4/16/2015,96.45
4/17/2015,95.81
4/20/2015,96.5
4/21/2015,96.78
4/22/2015,97.28
4/23/2015,95.73
4/24/2015,95.17
4/27/2015,94.49
4/28/2015,94.42
4/29/2015,94.38
4/30/2015,95.12
5/1/2015,95.56
5/4/2015,95.95
5/5/2015,95.42
5/6/2015,95.48
5/7/2015,95.15
5/8/2015,96.55
5/11/2015,96.35
5/12/2015,96.2
5/13/2015,96.41
5/14/2015,98
5/15/2015,98.22
5/18/2015,98.05
5/19/2015,97.95
5/20/2015,97.69
5/21/2015,97.2
5/22/2015,96.26
5/26/2015,95.79
5/27/2015,96.38
5/28/2015,97.06
5/29/2015,96.43
6/1/2015,95.97
6/2/2015,96.05
6/3/2015,95.3
6/4/2015,94.14
6/5/2015,93.05
6/8/2015,92.84
6/9/2015,93.07
6/10/2015,93.69
6/11/2015,94.09
6/12/2015,93.74
6/15/2015,92.64
6/16/2015,93.55
6/17/2015,94.05
6/18/2015,95.23
6/19/2015,94.86
6/22/2015,95.6
6/23/2015,95.6
6/24/2015,95.29
6/25/2015,94.83
6/26/2015,94.91
6/29/2015,93.69
6/30/2015,93.34
7/1/2015,94.52
7/2/2015,94.66
7/6/2015,94.4
7/7/2015,96.4
7/8/2015,95.61
7/9/2015,94.59
7/10/2015,95.55
7/13/2015,97.22
7/14/2015,97.13
7/15/2015,96.35
7/16/2015,96.9
7/17/2015,96.78
7/20/2015,97.31
7/21/2015,96.93
7/22/2015,97.17
7/23/2015,96.87
7/24/2015,96.18
7/27/2015,95.66
7/28/2015,96.11
7/29/2015,96.53
7/30/2015,96.63
7/31/2015,96.35
8/3/2015,97.45
8/4/2015,97.81
8/5/2015,99.19
8/6/2015,99.15
8/7/2015,99.1
8/10/2015,99.09
8/11/2015,98.62
8/12/2015,98.38
8/13/2015,98.79
8/14/2015,99.23
8/17/2015,99.86
8/18/2015,99.77
8/19/2015,98.99
8/20/2015,97.98
8/21/2015,96.25
8/24/2015,91.83
8/25/2015,89.64
8/26/2015,92.49
8/27/2015,93.6
8/28/2015,93.53
8/31/2015,92.93
9/1/2015,91.33
9/2/2015,91.64
9/3/2015,92.13
9/4/2015,90.92
9/8/2015,92.37
9/9/2015,90.83
9/10/2015,91.06
9/11/2015,91.62
9/14/2015,91.2
9/15/2015,92.06
9/16/2015,93.07
9/17/2015,93.37
9/18/2015,93.05
9/21/2015,93.71
9/22/2015,92.37
9/23/2015,92.4
9/24/2015,92.47
9/25/2015,93.47
9/28/2015,92.47
9/29/2015,93.04
9/30/2015,94.3
10/1/2015,93.85
10/2/2015,94.16
10/5/2015,95.81
10/6/2015,97.07
10/7/2015,98.52
10/8/2015,98.97
10/9/2015,99.47
10/12/2015,99.14
10/13/2015,97.92
10/14/2015,97.49
10/15/2015,98.28
10/16/2015,99.7
10/19/2015,100.18
10/20/2015,100.27
10/21/2015,100.25
10/22/2015,103.08
10/23/2015,102.43
10/26/2015,102.54
10/27/2015,102.94
10/28/2015,102.74
10/29/2015,102.8
10/30/2015,102.19
11/2/2015,101.4
11/3/2015,100.92
11/4/2015,100.62
11/5/2015,100.61
11/6/2015,99.72
11/9/2015,98.88
11/10/2015,98.83
11/11/2015,99.43
11/12/2015,98.37
11/13/2015,98.04
11/16/2015,99.56
11/17/2015,98.83
11/18/2015,100.27
11/19/2015,100.93
11/20/2015,100.1
11/23/2015,100.85
11/24/2015,100.63
11/25/2015,100.5
11/27/2015,100.74
11/30/2015,100.16
12/1/2015,101.06
12/2/2015,99.48
12/3/2015,99.09
12/4/2015,101.06
12/7/2015,100.67
12/8/2015,100.17
12/9/2015,99.13
12/10/2015,98.9
12/11/2015,97.78
12/14/2015,97.95
12/15/2015,99.39
12/16/2015,101.08
12/17/2015,100.2
12/18/2015,97.9
12/21/2015,98.62
12/22/2015,99.8
12/23/2015,100.64
12/24/2015,100.54
12/28/2015,100.68
12/29/2015,101.45
12/30/2015,101.15
12/31/2015,99.92
1/4/2016,98.77
1/5/2016,99.45
1/6/2016,99.48
1/7/2016,97.57
1/8/2016,97.21
1/11/2016,97.44
1/12/2016,97.62
1/13/2016,96.5
1/14/2016,95.81
1/15/2016,93.93
1/19/2016,95.77
1/20/2016,93.77
1/21/2016,94.47
1/22/2016,95.85
1/25/2016,95.94
1/26/2016,96.32
1/27/2016,95.94
1/28/2016,97.45
1/29/2016,99.3
2/1/2016,99.03
2/2/2016,98.21
2/3/2016,98.72
2/4/2016,97.39
2/5/2016,97.32
2/8/2016,97.52
2/9/2016,98.28
2/10/2016,97.62
2/11/2016,96.9
2/12/2016,98.49
2/16/2016,98.6
2/17/2016,99.55
2/18/2016,99.62
2/19/2016,99.58
2/22/2016,99.87
2/23/2016,99.54
2/24/2016,99.68
2/25/2016,100.67
2/26/2016,98.36
2/29/2016,97.82
3/1/2016,99.09
3/2/2016,98.33
3/3/2016,99.16
3/4/2016,100
3/7/2016,99.25
3/8/2016,99.74
3/9/2016,100.2
3/10/2016,100.78
3/11/2016,101.31
3/14/2016,100.65
3/15/2016,101.15
3/16/2016,100.83
3/17/2016,101.87
3/18/2016,101.29
3/21/2016,101.54
3/22/2016,100.77
3/23/2016,100.81
3/24/2016,100.68
3/28/2016,100.98
3/29/2016,101.37
3/30/2016,102.69
3/31/2016,102.48
4/1/2016,103.78
4/4/2016,103.82
4/5/2016,103.1
4/6/2016,103.92
4/7/2016,103.6
4/8/2016,105.08
4/11/2016,104.3
4/12/2016,104.91
4/13/2016,104.12
4/14/2016,103.16
4/15/2016,103.77
4/18/2016,103.72
4/19/2016,104.32
4/20/2016,102.44
4/21/2016,100.99
4/22/2016,101.98
4/25/2016,102.8
4/26/2016,102.6
4/27/2016,102.63
4/28/2016,102.97
4/29/2016,102.96
5/2/2016,103.43
5/3/2016,103.56
5/4/2016,104.02
5/5/2016,104.21
5/6/2016,104.96
5/9/2016,105.28
5/10/2016,106.57
5/11/2016,105.72
5/12/2016,106.1
5/13/2016,104.18
5/16/2016,104.13
5/17/2016,102.37
5/18/2016,100.91
5/19/2016,101.33
5/20/2016,100.1
5/23/2016,100.42
5/24/2016,101.09
5/25/2016,101.09
5/26/2016,101.9
5/27/2016,101.96
5/31/2016,101.17
6/1/2016,101.57
6/2/2016,102
6/3/2016,102.53
6/6/2016,102.7
6/7/2016,102.49
6/8/2016,103.18
6/9/2016,103.66
6/10/2016,103.31
6/13/2016,103.06
6/14/2016,103.23
6/15/2016,102.86
6/16/2016,103.85
6/17/2016,103.41
6/20/2016,103.37
6/21/2016,104.08
6/22/2016,103.74
6/23/2016,104.44
6/24/2016,101.98
6/27/2016,102.13
6/28/2016,102.14
6/29/2016,103.12
6/30/2016,105.94
7/1/2016,105.63
7/5/2016,106.42
7/6/2016,105.92
7/7/2016,107.49
7/8/2016,108.27
7/11/2016,108.91
7/12/2016,108.79
7/13/2016,109.91
7/14/2016,109.96
7/15/2016,109.66
7/18/2016,109.21
7/19/2016,109.53
7/20/2016,108.92
7/21/2016,108.58
7/22/2016,109.19
7/25/2016,109.02
7/26/2016,108.2
7/27/2016,107.48
7/28/2016,108.13
7/29/2016,108.92
8/1/2016,108.93
8/2/2016,108.72
8/3/2016,108.04
8/4/2016,108.42
8/5/2016,108.66
8/8/2016,108.14
8/9/2016,108.28
8/10/2016,108.82
8/11/2016,108.48
8/12/2016,108.59
8/15/2016,108.72
8/16/2016,108
8/17/2016,108.47
8/18/2016,108.28
8/19/2016,108.17
8/22/2016,107.96
8/23/2016,107.88
8/24/2016,108.11
8/25/2016,107.88
8/26/2016,107.45
8/29/2016,107.99
8/30/2016,107.21
8/31/2016,106.75
9/1/2016,107.29
9/2/2016,107.87
9/6/2016,107.92
9/7/2016,107.21
9/8/2016,106.88
9/9/2016,104.05
9/12/2016,106.02
9/13/2016,104.59
9/14/2016,105.05
9/15/2016,105.48
9/16/2016,105.28
9/19/2016,105.67
9/20/2016,106.3
9/21/2016,107.13
9/22/2016,107.82
9/23/2016,107.34
9/26/2016,107.03
9/27/2016,107.49
9/28/2016,107.38
9/29/2016,107.76
9/30/2016,108.77
10/3/2016,108.25
10/4/2016,107.1
10/5/2016,106.01
10/6/2016,106.4
10/7/2016,105.99
10/10/2016,106.22
10/11/2016,105.57
10/12/2016,106.08
10/13/2016,105.92
10/14/2016,106.83
10/17/2016,106.85
10/18/2016,106.95
10/19/2016,106.26
10/20/2016,105.87
10/21/2016,105.62
